datetime,long_liquidations,short_liquidations,long_liquidations_usd,short_liquidations_usd
2024-04-26 03:00:00,0.57,0.0,36502.94223,0.0
2024-04-26 02:00:00,0.565,0.187,36215.92442,12125.01751
2024-04-26 01:00:00,8.202,4.619,522821.22054,298623.59071
2024-04-26 00:00:00,8.116,0.246,518480.01887,15888.91349
2024-04-25 23:00:00,1.357,0.0,87146.00514,0.0
2024-04-25 22:00:00,0.658,0.007,42328.25281,454.61171
2024-04-25 21:00:00,2.6,9.609,167770.27246,628036.49432
2024-04-25 20:00:00,0.611,19.598,39302.08179,1281633.5549
2024-04-25 19:00:00,0.0,1.189,0.0,77282.38217
2024-04-25 18:00:00,2.375,1.282,152596.61233,83396.08878
2024-04-25 17:00:00,2.036,4.436,130794.82663,287908.36009
2024-04-25 16:00:00,0.088,6.08,5607.45136,392315.94292
2024-04-25 15:00:00,0.023,11.638,1459.51877,746339.10698
2024-04-25 14:00:00,10.041,11.388,633833.21108,728006.23024
2024-04-25 13:00:00,4.009,12.081,251773.30681,768456.37027
2024-04-25 12:00:00,7.949,2.165,503435.72119,139285.16119
2024-04-25 11:00:00,0.081,6.634,5121.79724,424883.94748
2024-04-25 10:00:00,167.389,0.418,10535880.81334,26751.57224
2024-04-25 09:00:00,0.649,2.067,41287.19331,132987.41659
2024-04-25 08:00:00,1.482,0.126,94129.83591,8111.3997
2024-04-25 07:00:00,5.643,0.05,359155.68341,3214.332
2024-04-25 06:00:00,0.146,0.252,9343.09683,16269.954
2024-04-25 05:00:00,0.252,0.783,16076.97648,50514.43683
2024-04-25 04:00:00,1.94,0.31,123867.6558,19990.22674
2024-04-25 03:00:00,1.031,0.815,65890.09399,52675.04389
2024-04-25 02:00:00,3.784,1.094,240848.5723,70444.40624
2024-04-25 01:00:00,2.709,0.223,173194.64678,14367.80231
2024-04-25 00:00:00,0.0,5.617,0.0,363952.3743
2024-04-24 23:00:00,6.805,3.126,433053.71819,201378.56178
2024-04-24 22:00:00,4.409,0.243,281044.32816,15640.27825
2024-04-24 21:00:00,0.014,1.14,893.70904,73591.22576
2024-04-24 20:00:00,20.449,3.129,1297679.30638,201233.25549
2024-04-24 19:00:00,11.327,3.295,722148.04338,212721.03731
2024-04-24 18:00:00,17.152,0.0,1100596.99163,0.0
2024-04-24 17:00:00,0.146,2.466,9426.76196,160849.73753
2024-04-24 16:00:00,11.403,4.084,731536.54917,265619.08984
2024-04-24 15:00:00,7.397,1.464,476462.83393,95459.07078
2024-04-24 14:00:00,15.648,2.357,1016920.12856,154272.45002
2024-04-24 13:00:00,4.611,1.653,303233.39477,109790.46464
2024-04-24 12:00:00,0.65,1.482,42990.68051,99200.00293
2024-04-24 11:00:00,0.003,2.238,198.37926,149569.45954
2024-04-24 10:00:00,0.895,0.091,59055.50062,6054.36113
2024-04-24 09:00:00,3.994,0.0,264023.62933,0.0
2024-04-24 08:00:00,0.578,0.041,38282.54664,2745.91012
2024-04-24 07:00:00,0.074,0.221,4906.57711,14820.15529
2024-04-24 06:00:00,0.919,0.215,60928.61971,14405.91798
2024-04-24 05:00:00,1.715,0.894,113895.32988,60167.04075
2024-04-24 04:00:00,0.0,7.36,0.0,494020.42503
2024-04-24 03:00:00,0.009,0.294,600.00768,19676.99319
2024-04-24 02:00:00,1.06,0.296,70206.24043,19799.38251
2024-04-24 01:00:00,0.344,7.295,22863.22113,489089.89216
2024-04-24 00:00:00,0.065,6.726,4327.29069,449681.39077
2024-04-23 23:00:00,2.475,1.482,163114.59345,98672.16527
2024-04-23 22:00:00,0.07,3.301,4621.63604,220088.0781
2024-04-23 21:00:00,0.161,0.552,10644.70421,36774.89642
2024-04-23 20:00:00,12.033,0.184,791586.58821,12240.11246
2024-04-23 19:00:00,1.968,0.0,130235.04168,0.0
2024-04-23 18:00:00,0.248,0.0,16452.85691,0.0
2024-04-23 17:00:00,0.034,0.805,2263.36544,53995.15003
2024-04-23 16:00:00,0.002,2.39,132.7027,160124.16018
2024-04-23 15:00:00,4.676,0.488,309078.54576,32691.18308
2024-04-23 14:00:00,5.256,19.263,348562.85626,1291757.55816
2024-04-23 13:00:00,0.152,8.248,10031.88422,549704.10445
2024-04-23 12:00:00,1.43,0.341,93791.73415,22622.44134
