datetime,long_liquidations,short_liquidations,long_liquidations_usd,short_liquidations_usd
2024-04-25 02:00:00,1.505,0.18,95847.7566,11578.1918
2024-04-25 01:00:00,0.99879141,0.0,64025.8494,0.0
2024-04-25 00:00:00,0.02,1.038,1287.228,67209.6302
2024-04-24 23:00:00,1.272,0.29720976,81025.7466,19129.2073
2024-04-24 22:00:00,0.874,0.043,55847.3459,2765.6315
2024-04-24 21:00:00,2.567,1.317,164249.954,84837.4357
2024-04-24 20:00:00,7.42305488,0.36,471188.7744,23146.0084
2024-04-24 19:00:00,0.8244094399999999,1.7063908,52608.8588,109824.3866
2024-04-24 18:00:00,5.5387648,0.0,355363.5331,0.0
2024-04-24 17:00:00,0.512,0.219,33140.3479,14268.6199
2024-04-24 16:00:00,1.8496386,0.17576903,118818.6524,11405.6185
2024-04-24 15:00:00,11.73,0.35,755792.1789,22750.1115
2024-04-24 14:00:00,17.48874534,0.573,1132977.6765,37450.6332
2024-04-24 13:00:00,7.68077472,0.447,506630.5019,29668.6891
2024-04-24 12:00:00,0.246,1.722,16284.4687,115177.4577
2024-04-24 11:00:00,0.006,0.531,397.4106,35427.7506
2024-04-24 10:00:00,0.4215784199999999,0.425,27848.0648,28305.1192
2024-04-24 09:00:00,4.89350347,0.0,323672.9937,0.0
2024-04-24 08:00:00,1.268,0.145,84107.2515,9699.572
2024-04-24 07:00:00,0.176,0.213,11693.143,14276.0039
2024-04-24 06:00:00,0.229,0.009,15199.2847,602.1369
2024-04-24 05:00:00,0.092,0.0,6117.2862,0.0
2024-04-24 04:00:00,0.239,18.256,15942.7101,1227700.3995
2024-04-24 03:00:00,0.0,0.058,0.0,3877.3326
2024-04-24 02:00:00,0.243,0.003,16116.8976,200.3445
2024-04-24 01:00:00,0.105,0.57,6979.875,38168.7232
2024-04-24 00:00:00,0.0,0.4824945,0.0,32194.7409
2024-04-23 23:00:00,0.146,0.081,9627.1409,5385.882
2024-04-23 22:00:00,0.456,0.039,30123.318,2595.7004
