datetime,long_liquidations,short_liquidations,long_liquidations_usd,short_liquidations_usd
2024-04-26 10:00:00,3.289,0.011,210462.7735,711.5716
2024-04-26 09:00:00,0.482,0.972,30938.1079,62823.8932
2024-04-26 08:00:00,0.151,0.063,9673.1525,4068.5484
2024-04-26 07:00:00,0.545,0.106,34968.776,6854.729
2024-04-26 06:00:00,0.276,0.888,17703.9134,57387.5878
2024-04-26 05:00:00,0.378,1.4,24154.4771,90469.5577
2024-04-26 04:00:00,1.375,0.106,88004.5038,6836.7439
2024-04-26 03:00:00,0.138,0.034,8852.6173,2197.9436
2024-04-26 02:00:00,0.108,0.175,6926.765,11317.9534
2024-04-26 01:00:00,0.672,1.015,42972.6443,65445.6851
2024-04-26 00:00:00,3.033,0.049,194309.5377,3159.0316
2024-04-25 23:00:00,0.641,0.047,41205.3697,3048.7614
2024-04-25 22:00:00,0.081,0.009,5214.6708,584.0028
2024-04-25 21:00:00,0.188,5.216,12153.9081,341069.4221
2024-04-25 20:00:00,0.274,0.682,17668.3848,44295.4996
2024-04-25 19:00:00,0.037,0.318,2381.8594,20637.1188
2024-04-25 18:00:00,0.381,1.157,24526.9056,75180.977
2024-04-25 17:00:00,1.287,10.111,82796.4275,655390.7654
2024-04-25 16:00:00,0.299,3.367,19091.2846,217187.0998
2024-04-25 15:00:00,0.6,4.213,38147.2104,269399.3059
2024-04-25 14:00:00,1.848,2.438,116881.2734,155621.5628
2024-04-25 13:00:00,12.619,0.973,793631.8747,61705.6782
2024-04-25 12:00:00,3.365,2.977,213365.3789,191302.8822
2024-04-25 11:00:00,0.131,2.166,8322.7959,138858.9371
2024-04-25 10:00:00,3.784,0.058,239483.4216,3695.4988
2024-04-25 09:00:00,0.296,0.551,18850.3096,35393.836
2024-04-25 08:00:00,7.883,0.291,501135.1555,18651.9564
2024-04-25 07:00:00,2.617,0.002,166567.0654,128.4636
2024-04-25 06:00:00,0.057,0.038,3652.0299,2452.469
2024-04-25 05:00:00,0.215,0.218,13737.2761,14057.074
2024-04-25 04:00:00,0.342,0.206,21890.5298,13250.2145
2024-04-25 03:00:00,0.123,0.146,7877.1256,9422.9662
2024-04-25 02:00:00,1.505,0.18,95847.7566,11578.1918
2024-04-25 01:00:00,0.728,0.0,46625.8494,0.0
2024-04-25 00:00:00,0.02,1.038,1287.228,67209.6302
2024-04-24 23:00:00,1.272,0.212,81025.7466,13629.2073
2024-04-24 22:00:00,0.874,0.043,55847.3459,2765.6315
2024-04-24 21:00:00,2.567,1.317,164249.954,84837.4357
2024-04-24 20:00:00,7.3,0.36,463388.7744,23146.0084
2024-04-24 19:00:00,0.438,0.988,28008.8588,63624.3866
2024-04-24 18:00:00,5.492,0.0,352363.5331,0.0
2024-04-24 17:00:00,0.512,0.219,33140.3479,14268.6199
2024-04-24 16:00:00,1.705,0.165,109518.6524,10705.6185
2024-04-24 15:00:00,11.73,0.35,755792.1789,22750.1115
2024-04-24 14:00:00,13.204,0.573,854777.6765,37450.6332
2024-04-24 13:00:00,7.661,0.447,505330.5019,29668.6891
2024-04-24 12:00:00,0.246,1.722,16284.4687,115177.4577
2024-04-24 11:00:00,0.006,0.531,397.4106,35427.7506
2024-04-24 10:00:00,0.414,0.425,27348.0648,28305.1192
2024-04-24 09:00:00,2.655,0.0,175672.9937,0.0
2024-04-24 08:00:00,1.268,0.145,84107.2515,9699.572
2024-04-24 07:00:00,0.176,0.213,11693.143,14276.0039
2024-04-24 06:00:00,0.229,0.009,15199.2847,602.1369
2024-04-24 05:00:00,0.092,0.0,6117.2862,0.0
2024-04-24 04:00:00,0.239,18.256,15942.7101,1227700.3995
2024-04-24 03:00:00,0.0,0.058,0.0,3877.3326
2024-04-24 02:00:00,0.243,0.003,16116.8976,200.3445
2024-04-24 01:00:00,0.105,0.57,6979.875,38168.7232
