datetime,long_liquidations,short_liquidations,long_liquidations_usd,short_liquidations_usd
2024-04-26 03:00:00,0.002,0.0,128.6448,0.0
2024-04-26 02:00:00,0.009,0.0,579.4398,0.0
2024-04-26 01:00:00,34.27,7.113,2191021.1633,459144.1693
2024-04-26 00:00:00,7.932,0.0,508841.7358,0.0
2024-04-25 23:00:00,0.3999999999999999,0.0,25696.7831,0.0
2024-04-25 22:00:00,1.1,0.0,70889.6866,0.0
2024-04-25 21:00:00,0.7500000000000001,14.896,48376.7458,972471.8332
2024-04-25 20:00:00,0.046,15.496,2963.4906,1006614.6381
2024-04-25 19:00:00,0.0,0.0,0.0,0.0
2024-04-25 18:00:00,0.283,1.493,18176.384,96870.3862
2024-04-25 17:00:00,0.0819999999999999,6.814,5268.6167000000005,441304.1549
2024-04-25 16:00:00,0.114,1.965,7298.679,126721.7569
2024-04-25 15:00:00,0.0,18.904,0.0,1210399.0119
2024-04-25 14:00:00,6.049,5.615,381935.4565,358495.1039
2024-04-25 13:00:00,38.903,5.0840000000000005,2448245.665,323391.30630000005
2024-04-25 12:00:00,6.46,12.248,410174.6634,788343.1016
2024-04-25 11:00:00,0.0,7.343,0.0,470091.975
2024-04-25 10:00:00,13.509,0.0,855445.8284,0.0
2024-04-25 09:00:00,0.027,4.459,1723.3101,286557.9661
2024-04-25 08:00:00,0.439,0.0,27909.1633,0.0
2024-04-25 07:00:00,6.236,0.0,398040.2589,0.0
2024-04-25 06:00:00,0.0,0.0,0.0,0.0
2024-04-25 05:00:00,0.06,0.0,3843.012,0.0
2024-04-25 04:00:00,2.02,0.0,129537.915,0.0
2024-04-25 03:00:00,0.01,0.27,644.295,17407.288
2024-04-25 02:00:00,2.28,0.46,145484.99,29589.993
2024-04-25 01:00:00,6.9,0.26,441332.734,16808.661
2024-04-25 00:00:00,0.02,7.89,1285.18,510996.988
2024-04-24 23:00:00,5.63,0.12,360029.167,7742.204000000001
2024-04-24 22:00:00,2.3,0.0,146841.266,0.0
2024-04-24 21:00:00,0.0,1.33,0.0,85838.93900000001
2024-04-24 20:00:00,4.76,2.16,302535.354,138866.366
2024-04-24 19:00:00,6.62,1.57,422663.32,101234.419
2024-04-24 18:00:00,20.46,0.0,1314901.432,0.0
2024-04-24 17:00:00,0.0,2.8,0.0,182323.526
2024-04-24 16:00:00,2.74,3.86,176316.236,250496.481
2024-04-24 15:00:00,9.08,0.0,585827.293,0.0
2024-04-24 14:00:00,24.49,2.28,1595196.861,149018.886
2024-04-24 13:00:00,22.02,0.42,1448115.496,27895.377
2024-04-24 12:00:00,0.12,3.35,7930.548000000001,224082.07900000003
2024-04-24 11:00:00,0.05,0.02,3321.28,1333.373
2024-04-24 10:00:00,0.19,0.02,12539.12,1327.108
2024-04-24 09:00:00,1.92,0.0,127049.836,0.0
2024-04-24 08:00:00,0.41,0.0,27261.087,0.0
2024-04-24 07:00:00,0.0,0.0,0.0,0.0
2024-04-24 06:00:00,0.91,0.0,60604.73,0.0
2024-04-24 05:00:00,1.2,0.08,79861.967,5364.2480000000005
2024-04-24 04:00:00,0.0,2.23,0.0,149840.923
2024-04-24 03:00:00,0.0,0.0,0.0,0.0
2024-04-24 02:00:00,0.14,0.0,9270.410000000002,0.0
2024-04-24 01:00:00,0.01,1.37,668.27,91568.246
2024-04-24 00:00:00,0.49,8.89,32592.209,592822.9060000001
2024-04-23 23:00:00,0.14,0.0,9268.826,0.0
2024-04-23 22:00:00,0.01,0.04,662.918,2655.286
2024-04-23 21:00:00,0.0,0.1,0.0,6669.404
2024-04-23 20:00:00,21.46,0.04,1418597.4790000005,2664.2720000000004
2024-04-23 19:00:00,0.62,0.0,41074.413,0.0
2024-04-23 18:00:00,0.0,0.0,0.0,0.0
2024-04-23 17:00:00,0.05,0.91,3330.57,60924.01900000001
2024-04-23 16:00:00,0.04,1.51,2658.32,101001.402
2024-04-23 15:00:00,2.37,0.0,156793.72,0.0
2024-04-23 14:00:00,1.62,8.78,107832.867,588891.055
2024-04-23 13:00:00,0.0,13.5,0.0,899349.927
2024-04-23 12:00:00,0.33,0.0,21746.895,0.0
2024-04-23 11:00:00,3.98,0.0,262147.593,0.0
2024-04-23 10:00:00,0.0,0.34,0.0,22486.75
2024-04-23 09:00:00,0.0,0.0,0.0,0.0
2024-04-23 08:00:00,0.42,0.0,27678.816,0.0
2024-04-23 07:00:00,4.47,0.24,294952.647,15913.248
